service_family,capacity_teu,demand_set_id,seed,policy_key,reproduction_class,configuration_fingerprint,demand_fingerprint,completed,total_revenue,transported_volume,accepted_volume,solver_status,ordinary_rejection_count,feasibility_rejection_count,feasibility_rejected_demand_ids,solver_failure_count,solve_time_seconds,mip_gap,variable_count,constraint_count,solver_node_count,revenue_per_accepted_teu
service_family_1,20,demand_set_05,11005,dca_rm,controlled_substitute_input,b49acd2524fdff113d1349188675e5d0bbaccc49e14271c6d6b5fb8156750805,d471d1252ffe718c800490ae3813e0af44e52da934a91d320071397340ca5431,True,24662.5,115.0,115.0,all_events_processed,0,0,(),0,11.665963591018226,,,,,214.45652173913044
service_family_1,20,demand_set_05,11005,dca_r,controlled_substitute_input,b49acd2524fdff113d1349188675e5d0bbaccc49e14271c6d6b5fb8156750805,d471d1252ffe718c800490ae3813e0af44e52da934a91d320071397340ca5431,True,24662.5,115.0,115.0,all_events_processed,0,0,(),0,8.961439108010381,,,,,214.45652173913044
service_family_1,20,demand_set_05,11005,dca_rrm,controlled_substitute_input,b49acd2524fdff113d1349188675e5d0bbaccc49e14271c6d6b5fb8156750805,d471d1252ffe718c800490ae3813e0af44e52da934a91d320071397340ca5431,True,24662.5,115.0,115.0,all_events_processed,0,0,(),0,18.397089156962465,,,,,214.45652173913044
service_family_2,10,demand_set_01,11001,dca,controlled_substitute_input,bc0a4b318817070249274350ae9d87f94a0e1eb073b7bef213753a31014bdcb2,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,True,24925.0,113.0,113.0,all_events_processed,0,0,(),0,2.142766422999557,,,,,220.57522123893804
service_family_2,10,demand_set_01,11001,dca_rm,controlled_substitute_input,bc0a4b318817070249274350ae9d87f94a0e1eb073b7bef213753a31014bdcb2,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,True,24925.0,113.0,113.0,all_events_processed,0,0,(),0,19.343721512006596,,,,,220.57522123893804
service_family_2,10,demand_set_01,11001,dca_r,controlled_substitute_input,bc0a4b318817070249274350ae9d87f94a0e1eb073b7bef213753a31014bdcb2,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,True,24925.0,113.0,113.0,all_events_processed,0,0,(),0,13.717632854008116,,,,,220.57522123893804
service_family_2,10,demand_set_01,11001,dca_rrm,controlled_substitute_input,bc0a4b318817070249274350ae9d87f94a0e1eb073b7bef213753a31014bdcb2,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,True,24925.0,113.0,113.0,all_events_processed,0,0,(),0,31.36162660102127,,,,,220.57522123893804
service_family_2,10,demand_set_02,11002,dca,controlled_substitute_input,fac754f6917d42638454aae6a54a6a087bfe21491ad45ca8707723c116672cde,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,True,31343.75,135.0,135.0,all_events_processed,0,0,(),0,2.6666022450081073,,,,,232.17592592592592
service_family_2,10,demand_set_02,11002,dca_rm,controlled_substitute_input,fac754f6917d42638454aae6a54a6a087bfe21491ad45ca8707723c116672cde,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,True,31343.75,135.0,135.0,all_events_processed,0,0,(),0,22.519675502029713,,,,,232.17592592592592
service_family_2,10,demand_set_02,11002,dca_r,controlled_substitute_input,fac754f6917d42638454aae6a54a6a087bfe21491ad45ca8707723c116672cde,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,True,31343.75,135.0,135.0,all_events_processed,0,0,(),0,18.5533276849892,,,,,232.17592592592592
service_family_2,10,demand_set_02,11002,dca_rrm,controlled_substitute_input,fac754f6917d42638454aae6a54a6a087bfe21491ad45ca8707723c116672cde,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,True,31343.75,135.0,135.0,all_events_processed,0,0,(),0,39.036235640000086,,,,,232.17592592592592
service_family_2,10,demand_set_03,11003,dca,controlled_substitute_input,6d749283777897f9fdda74b10920cdd34bc5b296e0ccb5669e8ce846b443d5a9,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,True,23537.5,102.0,102.0,all_events_processed,0,0,(),0,1.93320179998409,,,,,230.75980392156862
service_family_2,10,demand_set_03,11003,dca_rm,controlled_substitute_input,6d749283777897f9fdda74b10920cdd34bc5b296e0ccb5669e8ce846b443d5a9,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,True,23537.5,102.0,102.0,all_events_processed,0,0,(),0,18.37881035398459,,,,,230.75980392156862
service_family_2,10,demand_set_03,11003,dca_r,controlled_substitute_input,6d749283777897f9fdda74b10920cdd34bc5b296e0ccb5669e8ce846b443d5a9,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,True,23537.5,102.0,102.0,all_events_processed,0,0,(),0,12.946531793975737,,,,,230.75980392156862
service_family_2,10,demand_set_03,11003,dca_rrm,controlled_substitute_input,6d749283777897f9fdda74b10920cdd34bc5b296e0ccb5669e8ce846b443d5a9,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,True,23537.5,102.0,102.0,all_events_processed,0,0,(),0,29.620171852991916,,,,,230.75980392156862
service_family_2,10,demand_set_04,11004,dca,controlled_substitute_input,60048d29aa904ff4109c9f0eca444867a94a8434151ca3c9fba43967f678ff04,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,True,30206.25,130.0,130.0,all_events_processed,0,0,(),0,2.5867502170149237,,,,,232.35576923076923
service_family_2,10,demand_set_04,11004,dca_rm,controlled_substitute_input,60048d29aa904ff4109c9f0eca444867a94a8434151ca3c9fba43967f678ff04,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,True,30206.25,130.0,130.0,all_events_processed,0,0,(),0,21.214277682011016,,,,,232.35576923076923
service_family_2,10,demand_set_04,11004,dca_r,controlled_substitute_input,60048d29aa904ff4109c9f0eca444867a94a8434151ca3c9fba43967f678ff04,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,True,30206.25,130.0,130.0,all_events_processed,0,0,(),0,21.66043455299223,,,,,232.35576923076923
service_family_2,10,demand_set_04,11004,dca_rrm,controlled_substitute_input,60048d29aa904ff4109c9f0eca444867a94a8434151ca3c9fba43967f678ff04,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,True,30206.25,130.0,130.0,all_events_processed,0,0,(),0,39.51262420497369,,,,,232.35576923076923
