service_family,capacity_teu,demand_set_id,seed,policy_key,reproduction_class,configuration_fingerprint,demand_fingerprint,revenue_ir_percent,volume_ir_percent
service_family_1,20,demand_set_05,11005,dca,controlled_substitute_input,b49acd2524fdff113d1349188675e5d0bbaccc49e14271c6d6b5fb8156750805,d471d1252ffe718c800490ae3813e0af44e52da934a91d320071397340ca5431,0.0,0.0
service_family_1,20,demand_set_05,11005,dca_rm,controlled_substitute_input,b49acd2524fdff113d1349188675e5d0bbaccc49e14271c6d6b5fb8156750805,d471d1252ffe718c800490ae3813e0af44e52da934a91d320071397340ca5431,0.0,0.0
service_family_1,20,demand_set_05,11005,dca_r,controlled_substitute_input,b49acd2524fdff113d1349188675e5d0bbaccc49e14271c6d6b5fb8156750805,d471d1252ffe718c800490ae3813e0af44e52da934a91d320071397340ca5431,0.0,0.0
service_family_1,20,demand_set_05,11005,dca_rrm,controlled_substitute_input,b49acd2524fdff113d1349188675e5d0bbaccc49e14271c6d6b5fb8156750805,d471d1252ffe718c800490ae3813e0af44e52da934a91d320071397340ca5431,0.0,0.0
service_family_2,10,demand_set_01,11001,dca,controlled_substitute_input,bc0a4b318817070249274350ae9d87f94a0e1eb073b7bef213753a31014bdcb2,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,0.0,0.0
service_family_2,10,demand_set_01,11001,dca_rm,controlled_substitute_input,bc0a4b318817070249274350ae9d87f94a0e1eb073b7bef213753a31014bdcb2,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,0.0,0.0
service_family_2,10,demand_set_01,11001,dca_r,controlled_substitute_input,bc0a4b318817070249274350ae9d87f94a0e1eb073b7bef213753a31014bdcb2,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,0.0,0.0
service_family_2,10,demand_set_01,11001,dca_rrm,controlled_substitute_input,bc0a4b318817070249274350ae9d87f94a0e1eb073b7bef213753a31014bdcb2,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,0.0,0.0
service_family_2,10,demand_set_02,11002,dca,controlled_substitute_input,fac754f6917d42638454aae6a54a6a087bfe21491ad45ca8707723c116672cde,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,0.0,0.0
service_family_2,10,demand_set_02,11002,dca_rm,controlled_substitute_input,fac754f6917d42638454aae6a54a6a087bfe21491ad45ca8707723c116672cde,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,0.0,0.0
service_family_2,10,demand_set_02,11002,dca_r,controlled_substitute_input,fac754f6917d42638454aae6a54a6a087bfe21491ad45ca8707723c116672cde,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,0.0,0.0
service_family_2,10,demand_set_02,11002,dca_rrm,controlled_substitute_input,fac754f6917d42638454aae6a54a6a087bfe21491ad45ca8707723c116672cde,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,0.0,0.0
service_family_2,10,demand_set_03,11003,dca,controlled_substitute_input,6d749283777897f9fdda74b10920cdd34bc5b296e0ccb5669e8ce846b443d5a9,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,0.0,0.0
service_family_2,10,demand_set_03,11003,dca_rm,controlled_substitute_input,6d749283777897f9fdda74b10920cdd34bc5b296e0ccb5669e8ce846b443d5a9,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,0.0,0.0
service_family_2,10,demand_set_03,11003,dca_r,controlled_substitute_input,6d749283777897f9fdda74b10920cdd34bc5b296e0ccb5669e8ce846b443d5a9,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,0.0,0.0
service_family_2,10,demand_set_03,11003,dca_rrm,controlled_substitute_input,6d749283777897f9fdda74b10920cdd34bc5b296e0ccb5669e8ce846b443d5a9,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,0.0,0.0
service_family_2,10,demand_set_04,11004,dca,controlled_substitute_input,60048d29aa904ff4109c9f0eca444867a94a8434151ca3c9fba43967f678ff04,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,0.0,0.0
service_family_2,10,demand_set_04,11004,dca_rm,controlled_substitute_input,60048d29aa904ff4109c9f0eca444867a94a8434151ca3c9fba43967f678ff04,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,0.0,0.0
service_family_2,10,demand_set_04,11004,dca_r,controlled_substitute_input,60048d29aa904ff4109c9f0eca444867a94a8434151ca3c9fba43967f678ff04,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,0.0,0.0
service_family_2,10,demand_set_04,11004,dca_rrm,controlled_substitute_input,60048d29aa904ff4109c9f0eca444867a94a8434151ca3c9fba43967f678ff04,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,0.0,0.0
